gap_size,count,successes,success_rate,expected_rate_heuristic,shield_score,shield_primes,theoretical_boost
178,106,12,0.11320754716981132,0.04825494243369465,2,"3,59",1.5258620689655171
180,200,12,0.06,0.04825494243369465,0,,1.0
182,80,12,0.15,0.04825494243369465,0,,1.0
184,89,15,0.16853932584269662,0.04825494243369465,2,"3,61",1.525
186,101,18,0.1782178217821782,0.04825494243369465,2,"5,37",1.284722222222222
188,33,1,0.030303030303030304,0.04825494243369465,2,"11,17",1.1687500000000002
190,63,7,0.1111111111111111,0.04825494243369465,2,"3,7",1.75
192,74,5,0.06756756756756757,0.04825494243369465,0,,1.0
194,32,9,0.28125,0.04825494243369465,0,,1.0
196,41,6,0.14634146341463414,0.04825494243369465,3,"3,5,13",2.03125
198,73,3,0.0410958904109589,0.04825494243369465,0,,1.0
200,28,5,0.17857142857142858,0.04825494243369465,0,,1.0
202,23,5,0.21739130434782608,0.04825494243369465,2,"3,67",1.5227272727272727
204,46,7,0.15217391304347827,0.04825494243369465,2,"7,29",1.2083333333333335
206,13,2,0.15384615384615385,0.04825494243369465,2,"5,41",1.28125
208,18,2,0.1111111111111111,0.04825494243369465,2,"3,23",1.5681818181818181
210,48,6,0.125,0.04825494243369465,2,"11,19",1.1611111111111112
212,12,0,0.0,0.04825494243369465,0,,1.0
214,11,0,0.0,0.04825494243369465,2,"3,71",1.5214285714285714
216,15,2,0.13333333333333333,0.04825494243369465,2,"5,43",1.2797619047619047
218,6,0,0.0,0.04825494243369465,2,"7,31",1.2055555555555557
220,12,4,0.3333333333333333,0.04825494243369465,2,"3,73",1.5208333333333333
222,11,0,0.0,0.04825494243369465,2,"13,17",1.1510416666666665
224,6,3,0.5,0.04825494243369465,0,,1.0
226,6,0,0.0,0.04825494243369465,2,"3,5",1.875
228,3,0,0.0,0.04825494243369465,0,,1.0
230,3,0,0.0,0.04825494243369465,0,,1.0
232,1,0,0.0,0.04825494243369465,3,"3,7,11",1.9250000000000003
234,13,0,0.0,0.04825494243369465,0,,1.0
236,5,0,0.0,0.04825494243369465,2,"5,47",1.2771739130434785
238,1,0,0.0,0.04825494243369465,2,"3,79",1.5192307692307692
240,5,0,0.0,0.04825494243369465,0,,1.0
242,4,1,0.25,0.04825494243369465,0,,1.0
244,2,0,0.0,0.04825494243369465,1,3,1.5
246,4,1,0.25,0.04825494243369465,2,"5,7",1.4583333333333335
248,4,1,0.25,0.04825494243369465,2,"13,19",1.1435185185185184
250,4,1,0.25,0.04825494243369465,2,"3,83",1.5182926829268293
252,1,0,0.0,0.04825494243369465,0,,1.0
260,1,0,0.0,0.04825494243369465,2,"7,37",1.199074074074074
276,1,0,0.0,0.04825494243369465,2,"5,11",1.375
282,1,0,0.0,0.04825494243369465,0,,1.0
